ZIP,ZIPType,CityName,StateAbbr,ZCTA_USE
00985,S,Carolina,PR,00985
00986,P,Carolina,PR,00983
00987,S,Carolina,PR,00987
00988,P,Carolina,PR,00983
01001,S,Agawam,MA,01001
01002,S,Amherst,MA,01002
01003,P,Amherst,MA,01003
01004,P,Amherst,MA,01002
01005,S,Barre,MA,01005
01007,S,Belchertown,MA,01007
01008,S,Blandford,MA,01008
01009,P,Bondsville,MA,01009
01010,S,Brimfield,MA,01010
01011,S,Chester,MA,01011
01012,S,Chesterfield,MA,01012
01013,S,Chicopee,MA,01013
01014,P,Chicopee,MA,01013
01020,S,Chicopee,MA,01020
01021,P,Chicopee,MA,01020
01022,S,Chicopee,MA,01022
01026,S,Cummington,MA,01026
01027,S,Easthampton,MA,01027
01028,S,East Longmeadow,MA,01028
01029,P,East Otis,MA,01029
01030,S,Feeding Hills,MA,01030
01031,S,Gilbertville,MA,01031
01032,S,Goshen,MA,01032
01033,S,Granby,MA,01033
01034,S,Granville,MA,01034
01035,S,Hadley,MA,01035
01036,S,Hampden,MA,01036
01037,P,Hardwick,MA,01037
01038,S,Hatfield,MA,01038
01039,S,Haydenville,MA,01039
01040,S,Holyoke,MA,01040
01041,P,Holyoke,MA,01040
01050,S,Huntington,MA,01050
01053,S,Leeds,MA,01053
01054,S,Leverett,MA,01054
01056,S,Ludlow,MA,01056
01057,S,Monson,MA,01057
01059,P,North Amherst,MA,01002
01060,S,Northampton,MA,01060
01061,P,Northampton,MA,01060
01062,S,Florence,MA,01062
01063,U,Northampton,MA,01063
01066,P,North Hatfield,MA,01066
01068,S,Oakham,MA,01068
01069,S,Palmer,MA,01069
01070,S,Plainfield,MA,01070
01071,S,Russell,MA,01071
01072,S,Shutesbury,MA,01072
01073,S,Southampton,MA,01073
01074,P,South Barre,MA,01074
01075,S,South Hadley,MA,01075
01077,S,Southwick,MA,01077
01079,P,Thorndike,MA,01079
01080,S,Three Rivers,MA,01080
01081,S,Wales,MA,01081
01082,S,Ware,MA,01082
01083,P,Warren,MA,01083
01084,S,West Chesterfield,MA,01084
01085,S,Westfield,MA,01085
01086,P,Westfield,MA,01086
01088,S,West Hatfield,MA,01088
01089,S,West Springfield,MA,01089
01090,P,West Springfield,MA,01089
01092,P,West Warren,MA,01092
01093,P,Whately,MA,01093
01094,P,Wheelwright,MA,01094
01095,S,Wilbraham,MA,01095
01096,S,Williamsburg,MA,01096
01097,P,Woronoco,MA,01097
01098,S,Worthington,MA,01098
01101,P,Springfield,MA,01103
01102,P,Springfield,MA,01103
01103,S,Springfield,MA,01103
01104,S,Springfield,MA,01104
01105,S,Springfield,MA,01105
01106,S,Longmeadow,MA,01106
01107,S,Springfield,MA,01107
01108,S,Springfield,MA,01108
01109,S,Springfield,MA,01109
01111,U,Springfield,MA,01109
01115,P,Springfield,MA,01103
01116,P,Longmeadow,MA,01106
01118,S,Springfield,MA,01118
01119,S,Springfield,MA,01119
01128,S,Springfield,MA,01128
01129,S,Springfield,MA,01129
01138,P,Springfield,MA,01108
01139,P,Springfield,MA,01109
01144,S,Springfield,MA,01103
01151,S,Indian Orchard,MA,01151
01152,S,Springfield,MA,01151
01199,U,Springfield,MA,01199
01201,S,Pittsfield,MA,01201
01202,P,Pittsfield,MA,01201
01203,P,Pittsfield,MA,01201
01220,S,Adams,MA,01220
01222,S,Ashley Falls,MA,01222
01223,S,Becket,MA,01223
01224,S,Berkshire,MA,01224
01225,S,Cheshire,MA,01225
01226,S,Dalton,MA,01226
01227,P,Dalton,MA,01226
01229,P,Glendale,MA,01229
01230,S,Great Barrington,MA,01230
01235,S,Hinsdale,MA,01235
01236,S,Housatonic,MA,01236
01237,S,Lanesboro,MA,01237
01238,S,Lee,MA,01238
01240,S,Lenox,MA,01240
01242,P,Lenox Dale,MA,01242
01243,P,Middlefield,MA,01243
01244,P,Mill River,MA,01244
01245,S,Monterey,MA,01245
01247,S,North Adams,MA,01247
01252,P,North Egremont,MA,01230
01253,S,Otis,MA,01253
01254,S,Richmond,MA,01254
01255,S,Sandisfield,MA,01255
01256,S,Savoy,MA,01256
01257,S,Sheffield,MA,01257
01258,S,South Egremont,MA,01258
01259,S,Southfield,MA,01259
01260,P,South Lee,MA,01260
01262,P,Stockbridge,MA,01262
01263,U,Stockbridge,MA,01262
01264,P,Tyringham,MA,01264
01266,S,West Stockbridge,MA,01266
01267,S,Williamstown,MA,01267
01270,S,Windsor,MA,01270
01301,S,Greenfield,MA,01301
01302,P,Greenfield,MA,01301
01330,S,Ashfield,MA,01330
01331,S,Athol,MA,01331
01337,S,Bernardston,MA,01337
01338,S,Buckland,MA,01338
01339,S,Charlemont,MA,01339
01340,S,Colrain,MA,01340
01341,S,Conway,MA,01341
01342,S,Deerfield,MA,01342
01343,S,Drury,MA,01343
01344,S,Erving,MA,01344
01346,S,Heath,MA,01346
01347,P,Lake Pleasant,MA,01347
01349,S,Millers Falls,MA,01349
01350,P,Monroe Bridge,MA,01350
01351,S,Montague,MA,01351
01354,S,Gill,MA,01354
01355,S,New Salem,MA,01355
01360,S,Northfield,MA,01360
01364,S,Orange,MA,01364
01366,S,Petersham,MA,01366
01367,S,Rowe,MA,01367
01368,S,Royalston,MA,01368
01370,S,Shelburne Falls,MA,01370
01373,S,South Deerfield,MA,01373
01375,S,Sunderland,MA,01375
01376,S,Turners Falls,MA,01376
01378,S,Warwick,MA,01378
01379,S,Wendell,MA,01379
01380,S,Wendell Depot,MA,01379
01420,S,Fitchburg,MA,01420
01430,S,Ashburnham,MA,01430
01431,S,Ashby,MA,01431
01432,S,Ayer,MA,01432
01434,S,Devens,MA,01434
01436,S,Baldwinville,MA,01436
01438,P,East Templeton,MA,01438
01440,S,Gardner,MA,01440
01441,U,Westminster,MA,01440
01450,S,Groton,MA,01450
01451,S,Harvard,MA,01451
01452,S,Hubbardston,MA,01452
01453,S,Leominster,MA,01453
01460,S,Littleton,MA,01460
01462,S,Lunenburg,MA,01462
01463,S,Pepperell,MA,01463
01464,S,Shirley,MA,01464
01467,P,Still River,MA,01467
01468,S,Templeton,MA,01468
01469,S,Townsend,MA,01469
01470,U,Groton,MA,01450
01471,U,Groton,MA,01450
01472,P,West Groton,MA,01464
01473,S,Westminster,MA,01473
01474,S,West Townsend,MA,01474
01475,S,Winchendon,MA,01475
01477,P,Winchendon Springs,MA,01475
01501,S,Auburn,MA,01501
01503,S,Berlin,MA,01503
01504,S,Blackstone,MA,01504
01505,S,Boylston,MA,01505
01506,S,Brookfield,MA,01506
01507,S,Charlton,MA,01507
01508,P,Charlton City,MA,01507
01509,P,Charlton Depot,MA,01507
01510,S,Clinton,MA,01510
01515,S,East Brookfield,MA,01515
01516,S,Douglas,MA,01516
01517,P,East Princeton,MA,01541
01518,S,Fiskdale,MA,01518
01519,S,Grafton,MA,01519
01520,S,Holden,MA,01520
01521,S,Holland,MA,01521
01522,S,Jefferson,MA,01522
01523,S,Lancaster,MA,01523
01524,S,Leicester,MA,01524
01525,P,Linwood,MA,01525
01526,P,Manchaug,MA,01590
01527,S,Millbury,MA,01527
01529,S,Millville,MA,01529
01531,S,New Braintree,MA,01531
01532,S,Northborough,MA,01532
01534,S,Northbridge,MA,01534
01535,S,North Brookfield,MA,01535
01536,S,North Grafton,MA,01536
01537,S,North Oxford,MA,01537
01538,P,North Uxbridge,MA,01569
01540,S,Oxford,MA,01540
01541,S,Princeton,MA,01541
01542,S,Rochdale,MA,01542
01543,S,Rutland,MA,01543
01545,S,Shrewsbury,MA,01545
01546,U,Shrewsbury,MA,01545
01550,S,Southbridge,MA,01550
01560,S,South Grafton,MA,01560
01561,P,South Lancaster,MA,01561
01562,S,Spencer,MA,01562
01564,S,Sterling,MA,01564
01566,S,Sturbridge,MA,01566
01568,S,Upton,MA,01568
01569,S,Uxbridge,MA,01569
01570,S,Webster,MA,01570
01571,S,Dudley,MA,01571
